model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
10t,LOVO,1,5,8.41144432741591,5.96849750939552,-2.1173593999181675
10t,LOVO,1,overall,6.337350049695811,4.582380922005513,-0.7730460899392966
10t,LOVO,2,1,4.520139925649714,3.4701319137416022,0.09736513820915838
10t,LOVO,2,2,5.894874181751365,4.342684956258096,-0.5351395817034974
10t,LOVO,2,3,4.37508956505103,3.368773744899116,0.15436985371217693
10t,LOVO,2,4,7.364848031238995,5.033994562763953,-1.394377056573413
10t,LOVO,2,5,8.416499327224678,5.58738188379707,-2.1211073855555256
10t,LOVO,2,overall,6.3150781898052255,4.3605934122919665,-0.760605671140129
10t,LOVO,3,1,4.38293724504883,3.4264791537789923,0.15133000124088447
10t,LOVO,3,2,5.725891561307416,4.333707541397247,-0.4483883646200997
10t,LOVO,3,3,4.374386551065115,3.4066020837797257,0.1546415930893622
10t,LOVO,3,4,7.446398976812503,5.4078533531761215,-1.4476964976579638
10t,LOVO,3,5,8.604531213315223,6.130131466394154,-2.262121660452192
10t,LOVO,3,overall,6.334319945926591,4.540954719705248,-0.7713509873469637
10t,LOVO,4,1,4.451468959638536,3.4387996469756654,0.12458286397302631
10t,LOVO,4,2,6.00325194528594,4.497138739759648,-0.592105820038429
10t,LOVO,4,3,4.268193899228111,3.317853303504732,0.19518726087952631
10t,LOVO,4,4,6.8647893765461,4.922346825342314,-1.0802685163479873
10t,LOVO,4,5,8.349175363910676,5.773493764225131,-2.0713753271390245
10t,LOVO,4,overall,6.179096235215729,4.389926455961498,-0.6856001079768936
20t,LOVO,0,1,1.7183141609020938,1.3007765475103437,0.923350286730821
20t,LOVO,0,2,2.1384986182423438,1.608250021393695,0.8812538865841918
20t,LOVO,0,3,3.4804685308038543,2.6240643817011335,0.6853635214684972
20t,LOVO,0,4,4.807839044359493,3.6317346820231644,0.39960833784643557
20t,LOVO,0,5,4.752248119121956,3.5898709044571238,0.4133112228962713
20t,LOVO,0,overall,3.614930692333196,2.550939307417092,0.6606272947744267
20t,LOVO,1,1,1.7131203933003463,1.3053909081461206,0.9238129485161769
20t,LOVO,1,2,2.1337969464628457,1.6167320665054403,0.8817754595276921
20t,LOVO,1,3,3.482347242368254,2.64817164848503,0.6850237564497214
20t,LOVO,1,4,4.796540570349063,3.6336797246952077,0.4024268760161921
20t,LOVO,1,5,4.7527190654439435,3.595576405317684,0.4131949357810485
20t,LOVO,1,overall,3.6113640958824513,2.559910150629895,0.6612966345090772
