n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,false_alert_rate,lead_time_s,threshold_deg,alarm,k,n,alpha,seed
2545,1755,0.6895874263261297,0.3104125736738703,132,567,14.877430262045646,0.7671957671957672,4.435897435897436,2.0,5.0,5.0,8.8725,0.2328042328042328,4.435897435897436,15,prob,7,10,0.24036431750769016,2
2545,759,0.29823182711198426,0.7017681728880157,128,424,14.426599041983657,0.6981132075471698,4.050065876152833,1.0,5.0,5.0,8.8725,0.30188679245283023,4.050065876152833,15,prob,10,10,0.24036431750769016,2
2545,2526,0.9925343811394892,0.007465618860510781,991,2178,111.69343477035784,0.5449954086317723,4.330166270783848,2.0,5.0,5.0,8.8725,0.4550045913682277,4.330166270783848,15,prob,1,1,0.24638613434110634,3
2545,2529,0.993713163064833,0.006286836935166962,488,1242,55.00140884756269,0.607085346215781,4.569790431000396,3.0,5.0,5.0,8.8725,0.39291465378421897,4.569790431000396,15,prob,1,3,0.24638613434110634,3
2545,2425,0.9528487229862476,0.047151277013752435,478,1364,53.874330797407715,0.6495601173020528,4.22680412371134,2.0,5.0,5.0,8.8725,0.35043988269794724,4.22680412371134,15,prob,2,3,0.24638613434110634,3
2545,2114,0.8306483300589391,0.16935166994106088,429,1336,48.35164835164835,0.6788922155688623,3.9323557237464524,2.0,5.0,5.0,8.8725,0.32110778443113774,3.9323557237464524,15,prob,3,3,0.24638613434110634,3
2545,2530,0.9941060903732809,0.005893909626719096,305,837,34.37588052972668,0.6356033452807647,4.691699604743083,4.0,5.0,5.0,8.8725,0.3643966547192353,4.691699604743083,15,prob,1,5,0.24638613434110634,3
2545,2456,0.9650294695481336,0.03497053045186638,286,908,32.234432234432234,0.6850220264317181,4.4922638436482085,3.0,5.0,5.0,8.8725,0.31497797356828194,4.4922638436482085,15,prob,2,5,0.24638613434110634,3
2545,2273,0.8931237721021611,0.1068762278978389,301,981,33.92504930966469,0.6931702344546381,4.326440827100748,2.0,5.0,5.0,8.8725,0.3068297655453619,4.326440827100748,15,prob,3,5,0.24638613434110634,3
2545,1538,0.6043222003929273,0.3956777996070727,310,967,34.93941955480417,0.6794208893485005,3.954486345903771,1.0,5.0,5.0,8.8725,0.32057911065149947,3.954486345903771,15,prob,5,5,0.24638613434110634,3
2545,2530,0.9941060903732809,0.005893909626719096,223,620,25.1338405184559,0.6403225806451613,4.750197628458498,4.0,5.0,5.0,8.8725,0.35967741935483866,4.750197628458498,15,prob,1,7,0.24638613434110634,3
2545,2349,0.9229862475442043,0.07701375245579567,207,716,23.330515638207945,0.7108938547486033,4.535547041294167,2.0,5.0,5.0,8.8725,0.28910614525139666,4.535547041294167,15,prob,3,7,0.24638613434110634,3
2545,1889,0.7422396856581532,0.25776031434184676,229,795,25.810087348548887,0.7119496855345911,4.3800952885124405,2.0,5.0,5.0,8.8725,0.28805031446540885,4.3800952885124405,15,prob,5,7,0.24638613434110634,3
2545,1167,0.4585461689587426,0.5414538310412573,186,660,20.9636517328825,0.7181818181818181,3.91688089117395,1.0,5.0,5.0,8.8725,0.28181818181818186,3.91688089117395,15,prob,7,7,0.24638613434110634,3
2545,2530,0.9941060903732809,0.005893909626719096,159,459,17.920540997464073,0.6535947712418301,4.8237154150197625,5.0,5.0,5.0,8.8725,0.3464052287581699,4.8237154150197625,15,prob,1,10,0.24638613434110634,3
2545,2391,0.9394891944990177,0.06051080550098231,137,512,15.440969287123133,0.732421875,4.700125470514429,4.0,5.0,5.0,8.8725,0.267578125,4.700125470514429,15,prob,3,10,0.24638613434110634,3
2545,2129,0.8365422396856581,0.1634577603143419,154,572,17.357001972386588,0.7307692307692307,4.614842649131047,3.0,5.0,5.0,8.8725,0.2692307692307693,4.614842649131047,15,prob,5,10,0.24638613434110634,3
